instrument_type violin
instrument_size 4/4
num_strings_hold 5
pitch e5
frequency 659.3
string_core steel
string_winding 
string_brand daddario
string_brand_version kaplan
string_gauge medium
string_gauge_value na
total_practice_time na
date_manufactured na
date_string_placed 12052021
time_since_string_placed na
has_capo 0
playing_style orchestral
percentage_other na
percentage_fingers na
sound_type pizz
